Estonian;English;Progress
////Section:1;Hello!;0
ema, ema, ema;mother
hakkima, hakki/da, haki/n;to chop
halb, halva, halba;bad
hall, halli, halli;grey
halvaa, halvaa, halvaad;halva
hamba/arst, hamba/arsti, hamba/arsti;dentist
hamba/hari, hamba/harja, hamba/harja;toothbrush
hamba/pasta, hamba/pasta, hamba/pastat;toothpaste
hapu/koor, hapu/koore, hapu/koort;sour cream, smetana
haridus, hariduse, haridust;education
Harju/maa, Harju/maa, Harju/maad;Harju County
hea, hea, head;good
Heade soovidega;All good wishes
hele/kollane, hele/kollase, hele/kollast;light yellow
hele/punane, hele/punase, hele/punast;light red
hele/sinine, hele/sinise, hele/sinist;light blue
helistama, helista/da, helista/n;to call (on the phone)
Helsingi, Helsingi, Helsingit;Helsinki
hernes, herne, hernest;pea
hiidlane, hiidlase, hiidlast;inhabitant of the island of Hiiumaa
Hiina , Hiina, Hiinat;China
hiina keel, hiina keele, hiina keelt;Chinese
hiinlane, hiinlase, hiinlast;Chinese
Hiiu/maa, Hiiu/maa, Hiiu/maad;island of Hiiumaa, Hiiumaa County
Hille, Hille, Hillet;Hille (female name)
Hispaania , Hispaania, Hispaaniat;Spain
hispaania keel, hispaania keele, hispaania keelt;Spanish
hispaanlane, hispaanlase, hispaanlast;Spanish
hobi, hobi, hobi;hobby
hobuse/saba, hobuse/saba, hobuse/saba;ponytail
hommikune, hommikuse, hommikust;morning
häda/abi/telefon, häda/abi/telefoni, häda/abi/telefoni;emergency phone
ida, ida, ida;east
ida/tuul, ida/tuule, ida/tuult;eastern wind
Ida-Eesti, Ida-Eesti, Ida-Eestit;eastern Estonia
Ida-Viru/maa, Ida-Viru/maa, Ida-Viru/maad;East Viru County
ilu/salong, ilu/salongi, ilu/salongi;beauty salon
inetu, inetu, inetut;ugly
inglane, inglase, inglast;English(man)/English(woman)
Inglis/maa , Inglis/maa, Inglis/maad;England
insener, inseneri, inseneri;engineer
istet võtma, istet võt/ta, võta/n istet;to sit down
istuma, istu/da, istu/n;to sit
Itaalia , Itaalia , Itaaliat;Italy
itaalia keel, itaalia keele, itaalia keelt;Italian
itaallane, itaallase, itaallast;Italian
ja nii edasi;etc.
ja teised;et al
jaanuar, jaanuari, jaanuari;January
Jaapan, Jaapani, Jaapanit;Japan
jaapani keel, jaapani keele, jaapani keelt;Japanese
jaapanlane, jaapanlase, jaapanlast;Japanese
jahe, jaheda, jahedat;cool
jakk, jaki, jakki;jacket
jalg, jala, jalga;foot, leg
jalg/palli/treener, jalg/palli/treeneri, jalg/palli/treenerit;football coach
jalg/ratas, jalg/ratta, jalg/ratast;bicycle, bike
jalgsi;by foot
Jane, Jane, Janet;Jane (female name)
Jelena, Jelena, Jelenat;Jelena (female name)
jne (ja nii edasi);etc.
jooma, juu/a, joo/n;to drink
jt (ja teised);et al
jume, jume, jumet;complexion
juubeli/pidu, juubeli/peo,juubeli/pidu;anniversary party
juukse/hari, juukse/harja, juukse/harja;hairbrush
juuli, juuli, juulit;July
juuni, juuni, juunit;June
juveeli/kauplus, juveeli/kaupluse, juveeli/kauplust;jewellery shop
Jõgeva, Jõgeva, Jõgevat;Jõgeva (Estonian place name)
Jõgeva/maa, Jõgeva/maa, Jõgeva/maad;Jõgeva County
jõgi, jõe, jõge;river
Jõhvi, Jõhvi, Jõhvit;Jõhvi
Järva/maa, Järva/maa, Järva/maad;Järva County
kaalikas, kaalika, kaalikat;turnip
Kaarel, Kaarli, Kaarlit;Kaarel (male name)
kael, kaela, kaela;neck
kaela/kee, kaela/kee, kaela/keed;necklace
kagu, kagu, kagu;southeast
Kagu-Eesti, Kagu-Eesti, Kagu-Eestit;southeastern Estonia
kahe/eurone, kahe/eurose, kahe/eurost;two euro coin
kahe/kümne/eurone, kahe/kümne/eurose, kahe/kümne/eurost;twenty euro note
kahe/kümne/sendine, kahe/kümne/sendise, kahe/kümne/sendist;twenty cent coin
kahe/sendine, kahe/sendise, kahe/sendist;two cent coin
kahe/teist/kümnes, kahe/teist/kümnenda, kahe/teist/kümnendat;twelfth
kahekesi;two of us togehther
kaheksa, kaheksa, kaheksat;eight
kaheksa/kümmend, kaheksa/kümne, kaheksat/kümmend;eighty
kaheksa/sada, kaheksa/saja,kaheksat/sada;eight hundred
kaheksa/teist, kaheksa/teist/kümne, kaheksat/teist/kümmet;eighteen
kaheksakesi;eight of us together
kaheksas, kaheksanda, kaheksandat;eighth
kahvel, kahvli, kahvlit;fork
kakao, kakao, kakaod;cocoa
kaks, kahe, kaht(e);two
kaks/kümmend, kahe/kümne, kaht/kümmend;twenty
kaks/sada, kahe/saja, kaht/sada;two hundred
kala, kala, kala;fish
Kalev, Kalevi, Kalevit;Kalev (male name)
kallistama, kallista/da, kallista/n;to hug
kalur, kaluri, kalurit;fisherman
kamm, kammi, kammi;comb
kana, kana, kana;chicken
kann, kannu, kannu;jug
kapsa/pirukas, kapsa/piruka, kapsa/pirukat;cabbage salad
kapsa/salat, kapsa/salati, kapsa/salatit;cabbage salad
kapsas, kapsa, kapsast;cabbage
Karel, Kareli, Karelit;Karel (male name)
kartul, kartuli, kartulit;potato
kartuli/põld, kartuli/põllu,kartuli/põldu;potatoe field
kasukas, kasuka, kasukat;fur coat
Kati, Kati, Katit;Kati (female name)
katus, katuse, katust;roof
kaubandus/keskus, kaubandus/keskuse, kaubandus/keskust;hypermarket
Kaur, Kauri, Kauri;Kaur (male name)
Kaur-Mattias, Kaur-Mattiase, Kaur-Mattiast;Kaur-Mattias (male name)
kauss, kausi, kaussi;bowl
keefir, keefiri, keefirit;kephir
keel , keele, keelt;tongue
keerama, keera/ta, keera/n;to turn
ketšup, ketšupi, ketšupit;ketchup
Kiiev, Kiievi, Kiievit;Kiev
kiir/abi/haigla, kiir/abi/haigla, kiir/abi/haiglat;emergency ward
kiire, kiire, kiiret;fast
kiisu, kiisu, kiisut;pussycat
kiivi, kiivi, kiivit;kiwi
kilu, kilu, kilu;Baltic sprat
kinga/pood, kinga/poe, kinga/poodi;shoe shop
kinke/kaart, kinke/kaardi,kinke/kaarti;gift voucher
kinnas, kinda, kinnast;glove
kirde/tuul, kirde/tuule, kirde/tuult;northeastern wind
Kirde-Eesti, Kirde-Eesti, Kirde-Eestit;northeastern Estonia
kirik, kiriku, kirikut;church
kirju, kirju, kirjut;multicoloured, mottled
kirre, kirde, kirret;northeast
kirurg, kirurgi, kirurgi;surgeon
koguma, kogu/da, kogu/n;to collect
Kohtla-Järve, Kohtla-Järve, Kohtla-Järvet;Kohtla-Järve (Estonian place name)
kohu/piima/pirukas, kohu/piima/piruka, kohu/piima/pirukat;cheese pie
kohutav, kohutava, kohutavat;terrible
kohvik, kohviku, kohvikut;coffee-shop
Koit, Koidu, Koitu;Koit (male name)
kokk, koka, kokka;chef
kollane, kollase, kollast;yellow
kollektiiv, kollektiivi, kollektiivi;workforce, colleagues
kolm/kümmend, kolme/kümne, kolme/kümmend;thirty
kolm/sada, kolme/saja,kolme/sada;three hundred
kolm/teist, kolme/teist/kümne, kolme/teist/kümmet;thirteen
kolma/päev, kolma/päeva, kolma/päeva;Wednesday
Kolmapäevani!;Till Wednesday!
kolmas, kolmanda, kolmandat;third
kolme/nädalane, kolme/nädalase, kolme/nädalast;three-weeks-old
kolmekesi;three of us together
konserv, konservi, konservi;tinned food
kontor, kontori, kontorit;office
kool, kooli, kooli;school
koristaja, koristaja, koristajat;cleaner, cleaning woman, janitor
korrus/maja, korrus/maja, korrus/maja;storey house
korsten, korstna, korstent;chimney
kortsus;wrinkled, creased
kosmeetik, kosmeetiku, kosmeetikut;beautician
kosmeetika/kauplus, kosmeetika/kaupluse, kosmeetika/kauplust;cosmetics shop
kosmos, kosmose, kosmost;space, universe
kraadi/klaas, kraadi/klaasi, kraadi/klaasi;thermometer
kraan , kraani, kraani;tap
kraani/kauss, kraani/kausi,kraani/kaussi;sink
Kristiina, Kristiina, Kristiinat;Kristiina (female name)
Kristina, Kristina, Kristinat;Kristina (female name)
kruus, kruusi, kruusi;mug
Kui kauaks?;For how long?
kuivatama, kuivata/da, kuivata/n;to dry
kultuuri/maja, kultuuri/maja, kultuuri/maja;culture center
kummik, kummiku, kummikut;wellington
kurb, kurva, kurba;sad, unhappy
Kuressaare, Kuressaare, Kuressaaret;Kuressaare (Estonian place name)
kurgi/salat, kurgi/salati, kurgi/salatit;cucumber salad
kuri, kurja, kurja;evil, malicious
kurk, kurgi, kurki;cucumber
kurvalt;sadly
kuuekesi;six of us together
kuues, kuuenda, kuuendat;sixth
kuus, kuue, kuut;six
kuus/kümmend, kuue/kümne, kuut/kümmend;sixty
kuus/sada, kuue/saja, kuut/sada;six hundred
kuus/teist, kuue/teist/kümne, kuut/teist/kümmet;sixteen
kõhna/võitu;a little too skinny
kõhu/valu, kõhu/valu, kõhu/valu;stomach ache
kõrge/võitu;a little too high
kõrv, kõrva, kõrva;ear
kõrva/rõngas, kõrva/rõnga, kõrva/rõngast;earring
kõrvits, kõrvitsa, kõrvitsat;pumpkin
kõrvitsa/salat, kõrvitsa/salati, kõrvitsa/salatit;pumpkin salad
kõva, kõva, kõva;loud, hard
kõvasti;loudly
Kärdla, Kärdla, Kärdlat;Kärdla (Estonian place name)
Kärt, Kärdi, Kärti;Kärt (female name)
kätte saama, kätte saa/da, saa/n kätte;to get
käärid;scissors
küla, küla, küla;village
külastaja, külastaja, külastajat;visitor
külm/kapp, külm/kapi, külm/kappi;fridge
külma/võitu;a little too cold
külmetus, külmetuse, külmetust;cold, influenza
kümme, kümne, kümmet;ten
kümne/eurone, kümne/eurose, kümne/eurost;ten euro note
kümne/sendine, kümne/sendise, kümne/sendist;ten cent coin
kümnes, kümnenda, kümnendat;tenth
küünar/nukk, küünar/nuki,küünar/nukki;elbow
küüs/lauk, küüs/laugu,küüs/lauku;garlic bulb
laev, laeva, laeva;ship, boat
lahutatud;divorced
lakk, laki, lakki;hairspray
lamp, lambi, lampi;lamp
laste/aia/kasvataja, laste/aia/kasvataja, laste/aia/kasvatajat;kindergarten teacher
laste/arst, laste/arsti, laste/arsti;pediatrician
laste/haigla, laste/haigla, laste/haiglat;children's hospital
laste/riiete pood, laste/riiete poe,laste/riiete pood;children's clothes shop
laste/tuba, laste/toa, laste/tuba;nursery
latt, lati, latti;chunk (for sausage)
lau/päev, lau/päeva, lau/päeva;Saturday
laud/lina, laud/lina, laud/lina;tablecloth
laup, lauba, laupa;forehead
Laupäevani!;Till Saturday!
Laur, Lauri, Lauri;Laur (male name)
Leedu , Leedu, Leedut;Lithuania
leedu keel, leedu keele, leedu keelt;Lithuanian
leedukas, leeduka, leedukat;Lithuanian
lehe/külg, lehe/külje,lehe/külge;page
lennuk, lennuki, lennukit;plane
lesk, lese, leske;widow
liha/pirukas, liha/piruka, liha/pirukat;meat pie
Liisi, Liisi, Liisit;Liisi (female name)
lill/kapsas, lill/kapsa, lill/kapsast;cauliflower
lilla , lilla, lillat;purple
lille/pood, lille/poe, lille/poodi;florists
lilleline, lillelise, lillelist;flowery
lips, lipsu, lipsu;tie
lk (lehe/külg);page
loe, loode, loet;northwest
London, Londoni, Londonit;London
loode/tuul, loode/tuule, loode/tuult;northwestern wind
Loode-Eesti, Loode-Eesti, Loode-Eestit;northwestern Estonia
lugu/peetud;respected
Lugupidamisega;sincerely
lukustamata;unlocked
lusikas, lusika, lusikat;spoon
luu/murd, luu/murru, luu/murdu;bone fracture
lõug, lõua, lõuga;chin
lõuna, lõuna, lõunat;south, lunch
Läti , Läti, Lätit;Latvia
lätlane, lätlase, lätlast;Latvian
Lääne/maa, Lääne/maa, Lääne/maad;Lääne County
Lääne-Eesti, Lääne-Eesti, Lääne-Eestit;western Estonia
Lääne-Viru/maa, Lääne-Viru/maa, Lääne-Viru/maad;West Viru County
lääs, lääne, läänt;west
lörts, lörtsi, lörtsi;slush
lörtsine, lörtsise, lörtsist;slushy
lööma, lüü/a, löö/n;to strike, to hit
ma (mina), mu (minu), mind;I
Maarika, Maarika, Maarikat;Maarika (female name)
Madrid, Madridi, Madridi;Madrid
mai, mai, maid;May
Maie, Maie, Maiet;Maie (female name)
mais, maisi, maisi;corn
maja/elanik, maja/elaniku,maja/elanikku;inhabitant
maja/pidamis/tarvete kauplus, maja/pidamis/tarvete kaupluse, maja/pidamis/tarvete kauplust;shop of household goods
maksmine, maksmise, maksmist;paying
mandariin, mandariini, mandariini;tangerine
Marge, Marge, Marget;Marge (female name)
Marika, Marika, Marikat;Marika (female name)
marjule minema, marjule min/na, lähe/n marjule;to go picking berries
mark, margi, marki;stamp
Marko, Marko, Markot;Marko (male name)
Mati, Mati, Matit;Mati (male name)
Meelis, Meelise, Meelist;Meelis (male name)
meeste;men's
meeste/riiete pood, meeste/riiete poe,meeste/riiete poodi;men's clothes shop
meie (me), meie (me), meid;we
meile;to us, for us
mere/mees, mere/mehe, mere/meest;seaman, sailor
meri, mere, merd;sea
mess, messi, messi;fair
metall , metalli, metalli;metal
metallist;made of metal
Miina, Miina, Miinat;Miina (female name)
minia, minia, miniat;daughter-in-law
minul (mul) on;I have
minule (mulle);to me, for me
miski, millegi, midagi;something
mitte/söödav, mitte/söödava, mitte/söödavat;unedible
mitte/tulundus/ühing, mitte/tulundus/ühingu, mitte/tulundus/ühingut;non-profit organisation
mobiil/telefon, mobiil/telefoni, mobiil/telefoni;mobile phone
moosi/pirukas, moosi/piruka, moosi/pirukat;jam pie
Moskva, Moskva, Moskvat;Moscow
mulle (minule);to me, for me
must, musta, musta;black
mängu/asja/pood, mängu/asja/poe,mängu/asja/poodi;toy shop
märts, märtsi, märtsi;March
möbleerimata;unfurnished
mööbli/pood, mööbli/poe, mööbli/poodi;furniture shop
müristama, mürista/da, mürista/b;to thunder
müüdud;sold
müümata;unsold
nad (nemad), nende, neid;they
nahast;made of leather
nahk, naha, nahka;leather
naiste;women's
naiste/riiete pood, naiste/riiete poe,naiste/riiete poodi;women's clothes shop
Narva-Jõe/suu, Narva-Jõe/suu, Narva-Jõe/suud;Narva- Jõesuu (Estonian place name)
narvakas, narvaka, narvakat;inhabitant of Narva
Nasva, Nasva, Nasvat;Nasva (Estonian place name)
neile (nendele);to you, for you (pl)
neli, nelja, nelja;four
neli/kümmend, nelja/kümne, nelja/kümmend;fourty
neli/sada, nelja/saja, nelja/sada;four hundred
neli/teist, nelja/teist/kümne, nelja/teist/kümmet;fourteen
nelja/päev, nelja/päeva, nelja/päeva;Thursday
neljakesi;four of us together
Neljapäevani!;Till Thursday!
neljas, neljanda, neljandat;fourth
nemad (nad), nende, neid;they
nendel (neil) on;they have
nendele (neile);to you, for you (pl)
nii/nimetatud;so-to-speak
nina, nina, nina;nose
nina-, kõrva- ja kurgu/arst, nina-, kõrva- ja kurgu/arsti, nina-, kõrva- ja kurgu/arsti;otorhinolaryngologis
nina/rõngas, nina/rõnga, nina/rõngast;nose piercing
nn (nii/nimetatud);so-to-speak
normaalne, normaalse, normaalset;normal
november, novembri, novembrit;November
nt (näiteks);for instance
nurga peal;on the corner
Nõva, Nõva, Nõvat;Nõva (Estonian place name)
nägu, näo, nägu;face
näitleja, näitleja, näitlejat;actor
näitus, näituse, näitust;exhibition
odava/võitu;a little too cheap
oktoober, oktoobri, oktoobrit;October
olema, ol/la, ole/n;to be
on;
oranž, oranži, oranži;orange
osa/ühing, osa/ühingu, osa/ühingut;private limited company
osalema, osale/da, osale/n;to take part
oskama, osa/ta, oska/n;to be able to, can
Ott, Oti, Otti;Ott (male name)
paber , paberi, paberit;paper
paber/tasku/rätikud, paber/tasku/rätikute, paber/tasku/rätikuid;paper tissues
paberist;made of paper
Paide, Paide, Paidet;Paide
paistes;swollen
paistma, paist/a, paista/b;to shine, to show
pakane, pakase, pakast;frost, severe cold
pakaseline, pakaselise, pakaselist;freezing
pakk, paki, pakki;packet
paks, paksu, paksu;thick, fat
palav, palava, palavat;very hot
pank, panga, panka;bank
pann, panni, panni;frying pan
paprika, paprika, paprikat;bell pepper, paprika
parandus, paranduse, parandust;repair, amendment
Pariis, Pariisi, Pariisi;Paris
parkimine, parkimise, parkimist;parking
pea/valu, pea/valu, pea/valu;headache
peedi/salat, peedi/salati, peedi/salatit;beetroot salad
peet, peedi, peeti;beetroot
Peking, Pekingi, Pekingit;Beijing
pere/konna/seis, pere/konna/seisu, pere/konna/seisu;marital status
Peterburi, Peterburi, Peterburit;St Petersburg
piim, piima, piima;milk
piiri/valvur, piiri/valvuri, piiri/valvurit;border guard
pika/võitu;a little too long
Pikas/saare, Pikas/saare, Pikas/saaret;Pikassaare (Estonian place name)
Pille, Pille, Pillet;Pille (female name)
pilvine, pilvise, pilvist;cloudy
pipar, pipra, pipart;pepper
pits, pitsi, pitsi;shot
pitsa , pitsa, pitsat;pizza
plaaster, plaastri, plaastrit;plaster
plakat, plakati, plakatit;poster
plats, platsi, platsi;square
poiss-sõber , poiss-sõbra,poiss-sõpra;boyfriend
pole = ei ole;"negative of the verb "" olema"""
Pole paha!;Not bad!
polikliinik, polikliiniku, polikliinikut;polyclinic
politseinik, politseiniku,politseinikku;policeman
Poola , Poola, Poolat;Poland
poola keel, poola keele, poola keelt;Polish
poolakas, poolaka, poolakat;Polish
porgandi/salat, porgandi/salati, porgandi/salatit;carrot salad
pott, poti, potti;saucepan
prantslane, prantslase, prantslast;French(man)/French(woman)
Prantsus/maa, Prantsus/maa, Prantsus/maad;France
prantsuse keel, prantsuse keele, prantsuse keelt;French
preili, preili, preilit;young lady
prilli/pood, prilli/poe, prilli/poodi;opticians
professor, professori, professorit;professor
proua, proua, prouat;madam, missis
pruun, pruuni, pruuni;brown
puu , puu, puud;wood, timber, tree
puuder, puudri, puudrit;powder
puus, puusa, puusa;hip
puust;made of wood
põhi, põhja, põhja;north
põlv, põlve, põlve;knee
Põlva, Põlva, Põlvat;Põlva (Estonian place name)
Põlva/maa, Põlva/maa, Põlva/maad;Põlva County
põsk, põse, põske;cheek
päev, päeva, päeva;day
pähkel, pähkli, pähklit;nut
päike(ne), päikese, päikest;sun
päikese/prillid;sunglasses
pärast/lõuna, pärast/lõuna, pärast/lõunat;afternoon
pärnakas, pärnaka, pärnakat;inhabitant of Pärnu
Pärnu, Pärnu, Pärnut;Pärnu (Estonian place name)
Pärnu/maa, Pärnu/maa, Pärnu/maad;Pärnu County
püha/päev, püha/päeva, püha/päeva;Sunday
Pühapäevani!;Till Sunday!
raamatu/pood, raamatu/poe,raamatu/poodi;book shop
rada, raja, rada;track
Rae/koja plats, Rae/koja platsi, Rae/koja platsi;Rathaus square
rahe, rahe, rahet;hail
Rakvere, Rakvere, Rakveret;Rakvere (Estonian place name)
Rannu, Rannu, Rannut;Rannu (Estonian place name)
Rapla, Rapla, Raplat;Rapla
Rapla/maa, Rapla/maa, Rapla/maad;Rapla County
raud/tee, raud/tee, raud/teed;railway
raud/tee/jaam, raud/tee/jaama, raud/tee/jaama;railway station
redis, redise, redist;radish
redise/salat, redise/salati, redise/salatit;radish salad
reede, reede, reedet;Friday
Reedeni!;Till Friday!
Reet, Reeda, Reeta;Reet (female name)
Reili, Reili, Reilit;Reili (female name)
remonditud;renovated
renoveerimata;not renovated, in need of renovation
restoran, restorani, restorani;restaurant
Riho, Riho, Rihot;Riho (male name)
Riia, Riia, Riiat;Riga
riidest;made of fabric
riie, riide, riiet;fabrick, cloth
riigi/mets, riigi/metsa, riigi/metsa;state forest
Riina, Riina, Riinat;Riina (female name)
rind, rinna, rinda;chest, breast
roheline, rohelise, rohelist;green
Romeo, Romeo, Romeot;Romeo (male name)
Rooma, Rooma, Roomat;Rome
Roomas/saare, Roomas/saare, Roomas/saaret;Roomassaare (Estonian place name)
Roomeo, Roomeo, Roomeot;Roomeo (male name)
roosa , roosa, roosat;pink
rosin, rosina, rosinat;raisin
rumal, rumala, rumalat;stupid, dumb
Ruth, Ruthi, Ruthi;Ruth (female name)
ruuduline, ruudulise, ruudulist;checkered
rõdu, rõdu, rõdu;balcony
rätik, rätiku, rätikut;headscarf
rääkima, rääki/da, räägi/n;to speak
rüütel, rüütli, rüütlit;knight
sa (sina), su (sinu), sind;you (singular)
saabas, saapa, saabast;boot
Saare/maa, Saare/maa, Saare/maad;island of Saaremaa, Saaremaa County
saarlane, saarlase, saarlast;inhabitant of the island of Saaremaa
sada, saja, sada, sadat;hundred
sadam, sadama, sadamat;harbour
sai, saia, saia;bread (made of wheat)
saja/eurone, saja/eurose, saja/eurost;hundred euro note
Saksa/maa , Saksa/maa, Saksa/maad;Germany
sakslane, sakslase, sakslast;German
sale, saleda, saledat;slim, slender
sall, salli, salli;scarf
salv, salvi, salvi;balm
sanatoorium, sanatooriumi, sanatooriumit;sanatorium
Saša, Saša, Sašat;Saša (male name)
seal/hulgas;including
see tähendab;i.e.
see/kord;this time
seen, seene, seent;mushroom
seene/salat, seene/salati, seene/salatit;mushroom salad
seenele minema, seenele min/na, lähe/n seenele;to go picking mushrooms
seep, seebi, seepi;soap
seitse/kümmend, seitsme/kümne, seitset/kümmend;seventy
seitse/sada, seitsme/saja,seitset/sada;seven hundred
seitse/teist, seitsme/teist/kümne, seitset/teist/kümmet;seventeen
seitsmekesi;seven of us together
seitsmes, seitsmenda, seitsmendat;seventh
selg, selja, selga;back
seminar, seminari, seminari;seminar
september, septembri, septembrit;September
seriaal, seriaali, seriaali;serial, TV show
sh (seal/hulgas);incl.
sibul, sibula, sibulat;onion
side, sideme, sidet;bandage
sidrun, sidruni, sidrunit;lemon
sihvka, sihvka, sihvkat;sunflower seed
siili/soeng, siili/soengu, siili/soengut;buzz cut
Siim, Siimu, Siimu;Siim (male name)
Siiri, Siiri, Siirit;Siiri (female name)
sina (sa), sinu (su), sind;you (singular)
sinep, sinepi, sinepit;mustard
sinine, sinise, sinist;blue
sinule (sulle);to you, for you (sing)
Siret, Sireti, Siretit;Siret (female name)
sirge, sirge, sirget;straight
sisse/pääs, sisse/pääsu, sisse/pääsu;entrance
sokk, soki, sokki;sock
soome keel, soome keele, soome keelt;Finnish
soomlane, soomlase, soomlast;Finn
st (see tähendab);i.e.
sugu, soo, sugu;gender
suhkur, suhkru, suhkrut;sugar
sukk/püksid;tights
sula, sula, sula;thaw
sulle (sinule);to you, for you (sing)
super/market, super/marketi, super/marketit;supermarket
supi/lusika/täis, supi/lusika/täie,supi/lusika/täit;tablespoonful
suu, suu, suud;mouth
suure/võitu;a little too big
suurepärane, suurepärase, suurepärast;wonderful
suusa/matk, suusa/matka, suusa/matka;skking trip
sõber, sõbra, sõpra;friend
sõel, sõela, sõela;sieve
sõrm, sõrme, sõrme;finger
sõrmus, sõrmuse, sõrmust;ring
särk, särgi, särki;shirt
söödav, söödava, söödavat;edible
sööma, süü/a, söö/n;to eat
sült, süldi, sülti;jellied meat
sünni/märk, sünni/märgi,sünni/märki;birth mark
sünnitus/maja, sünnitus/maja, sünnitus/maja;maternity ward
šampoon, šampooni, šampooni;shampoo
šampus, šampuse, šampust;champagne
zoo/pood, zoo/poe, zoo/poodi;pet shop
ta (tema), ta (tema), teda;he, she
Taaniel, Taanieli, Taanielit;Taaniel (male name)
taastus/ravi/keskus, taastus/ravi/keskuse, taastus/ravi/keskust;rehabilitation centre
taevas, taeva, taevast;sky
tagasi keerama, tagasi keera/ta, keera/n tagasi;to turn back
tagasi pöörama, tagasi pööra/ta, pööra/n tagasi;to turn back
tagumik, tagumiku, tagumikku;bottom
tahvel, tahvli, tahvlit;bar
taime/laat, taime/laada,taime/laata;fair for plants
tal (temal) on;he/she has
taldrik, taldriku, taldrikut;plate
talle (temale);to him/her, for him/her
tallinlane, tallinlase, tallinlast;inhabitant of Tallinn
talunik, taluniku, talunikku;farmer
Tanel, Taneli, Tanelit;Tanel (male name)
Tarmo, Tarmo, Tarmot;Tarmo (male name)
tartlane, tartlase, tartlast;inhabitant of Tartu
Tartu, Tartu, Tartut;Tartu (Estonian place name)
Tartu/maa, Tartu/maa, Tartu/maad;Tartu County
teadlane, teadlase, teadlast;scientist
teatama, teata/da, teata/n;to inform
teater, teatri, teatrit;theatre
tedre/tähn, tedre/tähni, tedre/tähni;freckle
tee/lusika/täis, tee/lusika/täie,tee/lusika/täit;teaspoonful
tee/lusikas, tee/lusika, tee/lusikat;teaspoon
Teet, Teedu, Teetu;Teet (male name)
tehase/tööline, tehase/töölise, tehase/töölist;factory labourer
teie (te), teie (te), teid;you (plural)
teisi/päev, teisi/päeva, teisi/päeva;Tuesday
Teisipäevani!;Till Tuesday!
tel (telefon);telephone
telefoni/number, telefoni/numbri, telefoni/numbrit;phone number
temal (tal) on;he/she has
temale (talle);to him/her, for him/her
terve;healthy
tervis, tervise, tervist;health
Tervitades;with greetings
Tiit, Tiidu, Tiitu;Tiit (male name)
Tiiu, Tiiu, Tiiut;Tiiu (female name)
toidu/pood, toidu/poe, toidu/poodi;grocery
Tokyo, Tokyo, Tokyot;Tokyo
tomat, tomati, tomatit;tomato
tomati/salat, tomati/salati, tomati/salatit;tomato salad
tops, topsi, topsi;plastic cup
torm, tormi, tormi;storm
tormine, tormise, tormist;stormy
tramm, trammi, trammi;tram
traumatoloog, traumatoloogi, traumatoloogi;traumatologist
treener, treeneri, treenerit;coach
Triinu, Triinu, Triinut;Triinu(female name)
troll, trolli, trolli;trolleybus
T-särk, T-särgi, T-särki;T-shirt
tugi/tool, tugi/tooli, tugi/tooli;armchair
tuhat, tuhande, tuhandet;thousand
tulema, tul/la, tule/n;to come
tume/kollane, tume/kollase, tume/kollast;dark yellow
tume/punane, tume/punase, tume/punast;dark red
tume/sinine, tume/sinise, tume/sinist;dark blue
turg, turu, turgu;market
tuttavaks saama, tuttavaks saa/da, saa/n tuttavaks;to get acquainted
tuub, tuubi, tuubi;tube
Tuuli, Tuuli, Tuulit;Tuuli (female name)
Tõnu, Tõnu, Tõnut;Tõnu (male name)
tänav, tänava, tänavat;street
täpne, täpse, täpset;accurate, exact
tätoveering, tätoveeringu, tätoveeringut;tattoo
töö/intervjuu, töö/intervjuu, töö/intervjuud;job interview
tüdruk/sõber , tüdruk/sõbra ,tüdruk/sõpra;girlfriend
tüse, tüseda, tüsedat;corpulent
uba, oa, uba;bean
udu, udu, udu;mist
ujumis/riided;swimsuit
Ukraina , Ukraina, Ukrainat;Ukraine
ukraina keel, ukraina keele, ukraina keelt;Ukrainian
ukrainlane, ukrainlase, ukrainlast;Ukrainian
Ulla, Ulla, Ullat;Ulla (female name)
Uno, Uno, Unot;Uno (male name)
Urmas, Urmase, Urmast;Urmas (male name)
Uuno, Uuno, Uunot;Uuno (male name)
v.a (välja arvatud);excl.
vaata;look
vahel;in between
vaht, vahu, vahtu;foam, lather
vahule kloppima, vahule kloppi/da,klopi/n vahule;to whisk
vaikne, vaikse, vaikset;silent, quiet
vaikselt;quietly
Valeri, Valeri, Valerit;Valeri (male name)
Valga, Valga, Valgat;Valga (Estonian place name)
Valga/maa, Valga/maa, Valga/maad;Valga County
valge , valge, valget;white
vallaline, vallalise, vallalist;single, unmarried
vana/vanemad;grandparents
vanemad;parents
Varssavi, Varssavi, Varssavit;Warsaw
varvas, varba, varvast;toe
veebruar, veebruari, veebruari;Febuary
Veera, Veera, Veerat;Veera (female name)
Veiko, Veiko, Veikot;Veiko (male name)
vene keel, vene keele, vene keelt;Russian
venelane, venelase, venelast;Russian
ventilaator, ventilaatori, ventilaatorit;ventilator
Vera, Vera, Verat;Vera (female name)
vere/jooks, vere/jooksu, vere/jooksu;bleeding
vesi, vee, vett;water
vihm, vihma, vihma;rain
vihmane, vihmase, vihmast;rainy
viibimine, viibimise, viibimist;lingering
viie/eurone, viie/eurose, viie/eurost;five euro note
viie/korruseline, viie/korruselise, viie/korruselist;five-floors-high
viie/kümne/eurone, viie/kümne/eurose, viie/kümne/eurost;fifty euro note
